DIM,NI1,NI2,NI3,NI4,NP1,NP2,NP3,NP4,PI1,PI2,PI3,PI4,PII3,PII4
conical_slope,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
conical_height,35,55,75,100,60,60,75,100,60,60,100,100,100,100
hor_inner_height,45,45,45,45,45,45,45,45,45,45,45,45,45,45
hor_inner_radius,2000,2500,4000,4000,3500,3500,4000,4000,3500,3500,4000,4000,4000,4000
app_inner_width,,,,,,,,,90,90,120,120,120,120
app_inner_thrdist,,,,,,,,,60,60,60,60,60,60
app_inner_length,,,,,,,,,900,900,900,900,900,900
app_inner_slope,,,,,,,,,0.025,0.025,0.02,0.02,0.02,0.02
app_start_width,60,80,150,150,140,140,280,280,140,140,280,280,280,280
app_thrdist,30,60,60,60,60,60,60,60,60,60,60,60,60,60
app_divergence,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
app_sec1_length,1600,2500,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
app_sec1_slope,0.05,0.04,0.0333,0.025,0.0333,0.0333,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
app_sec2_length,,,,,,,3600,3600,12000,12000,3600,3600,3600,3600
app_sec2_slope,,,,,,,0.025,0.025,0.03,0.03,0.025,0.025,0.025,0.025
app_hor_length,,,,,,,8400,8400,,,8400,8400,8400,8400
trans_slope,0.2,0.2,0.143,0.143,0.2,0.2,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143
trans_inner_slope,,,,,,,,,0.4,0.4,0.333,0.333,0.333,0.333
balkland_start_width,,,,,,,,,90,90,120,120,120,120
balkland_thrdist,,,,,,,,,strip,strip,min(1800:rwy_length),min(1800:rwy_length),min(1800:rwy_length),min(1800:rwy_length)
balkland_divergence,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1
balkland_slope,,,,,,,,,0.04,0.04,0.0333,0.0333,0.0333,0.0333
tkof_start_width,60,80,180,180,60,80,180,180,60,80,180,180,180,180
tkof_thrdist,30,60,60,60,30,60,60,60,30,60,60,60,60,60
tkof_divergence,0.1,0.1,0.125,0.125,0.1,0.1,0.125,0.125,0.1,0.1,0.125,0.125,0.125,0.125
tkof_length,1600,2500,15000,15000,1600,2500,15000,15000,1600,2500,15000,15000,15000,15000
tkof_slope,0.05,0.04,0.02,0.02,0.05,0.04,0.02,0.02,0.05,0.04,0.02,0.02,0.02,0.02
